,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,topic,Cluster
Doc0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc1,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc2,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc3,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc4,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc5,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc6,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc7,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc8,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc9,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc10,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc11,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc12,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc13,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc14,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc15,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc16,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc17,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc18,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc19,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc20,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc21,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc22,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc23,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc24,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc25,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc26,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc27,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc28,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc29,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc30,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc31,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc32,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc33,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc34,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc35,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc36,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc37,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc38,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc39,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc40,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc41,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc42,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc43,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc44,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc45,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc46,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc47,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc48,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc49,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc50,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc51,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc52,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc53,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc54,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc55,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc56,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc57,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc58,0.0,0.0,0.99,0.0,0.0,0.0,0.0,2,Cluster 4
Doc59,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc60,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc61,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc62,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc63,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc64,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc65,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc66,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc67,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc68,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc69,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc70,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc71,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc72,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc73,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc74,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc75,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc76,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc77,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc78,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc79,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc80,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc81,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc82,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc83,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc84,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc85,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
